Match,Score,Cote,Pct_parieurs
Cote d'Ivoire vs Equateur,1-4,50,0
Suede vs Tunisie,1-0,5.60,14
Suede vs Tunisie,0-0,7.25,45
Suede vs Tunisie,0-1,8.50,1
Suede vs Tunisie,2-0,7.00,8
Suede vs Tunisie,1-1,5.70,4
Suede vs Tunisie,0-2,18,0
Suede vs Tunisie,2-1,7.75,8
Suede vs Tunisie,2-2,14.50,2
Suede vs Tunisie,1-2,12,3
Suede vs Tunisie,3-0,13,5
Suede vs Tunisie,3-3,60,1
Suede vs Tunisie,0-3,48,0
Suede vs Tunisie,3-1,14,3
Suede vs Tunisie,4-4,300,0
Suede vs Tunisie,1-3,34,1
Suede vs Tunisie,3-2,29,0
Suede vs Tunisie,Autre,65,1
Suede vs Tunisie,2-3,44,0
Suede vs Tunisie,4-0,30,1
Suede vs Tunisie,0-4,110,0
Suede vs Tunisie,4-1,32,1
Suede vs Tunisie,1-4,85,1
Arabie Saoudite vs Uruguay,1-0,12.50,1
Arabie Saoudite vs Uruguay,0-0,8.50,59
Arabie Saoudite vs Uruguay,0-1,5.20,7
Arabie Saoudite vs Uruguay,2-0,32,0
Arabie Saoudite vs Uruguay,1-1,7.25,3
Arabie Saoudite vs Uruguay,0-2,5.40,9
Arabie Saoudite vs Uruguay,2-1,19,2
Arabie Saoudite vs Uruguay,2-2,20,1
Arabie Saoudite vs Uruguay,1-2,7.50,6
Arabie Saoudite vs Uruguay,3-0,75,0
Arabie Saoudite vs Uruguay,3-3,70,0
Arabie Saoudite vs Uruguay,0-3,8.00,2
Arabie Saoudite vs Uruguay,3-1,55,1
Arabie Saoudite vs Uruguay,4-4,450,0
Arabie Saoudite vs Uruguay,1-3,11,5
Arabie Saoudite vs Uruguay,3-2,60,1
Arabie Saoudite vs Uruguay,Autre,40,1
Arabie Saoudite vs Uruguay,2-3,30,0
Arabie Saoudite vs Uruguay,4-0,275,0
Arabie Saoudite vs Uruguay,0-4,15,1
Arabie Saoudite vs Uruguay,4-1,170,0
Arabie Saoudite vs Uruguay,1-4,22,1
Qatar vs Suisse,1-0,21,1
Qatar vs Suisse,0-0,12.50,7
Qatar vs Suisse,0-1,5.90,4
Qatar vs Suisse,2-0,55,1
Qatar vs Suisse,1-1,10,1
Qatar vs Suisse,0-2,5.00,34
Qatar vs Suisse,2-1,30,1
Qatar vs Suisse,2-2,27,0
Qatar vs Suisse,1-2,8.00,6
Qatar vs Suisse,3-0,150,1
Qatar vs Suisse,3-3,90,0
Qatar vs Suisse,0-3,6.00,25
Qatar vs Suisse,3-1,85,0
Qatar vs Suisse,4-4,450,0
Qatar vs Suisse,1-3,9.50,6
Qatar vs Suisse,3-2,70,0
Qatar vs Suisse,Autre,17,1
Qatar vs Suisse,2-3,30,1
Qatar vs Suisse,4-0,450,0
Qatar vs Suisse,0-4,9.00,7
Qatar vs Suisse,4-1,350,0
Qatar vs Suisse,1-4,15,2
Qatar vs Suisse,4-2,300,0
Qatar vs Suisse,2-4,46,1
Etats-Unis vs Paraguay,1-0,5.30,15
Etats-Unis vs Paraguay,0-0,6.00,6
Etats-Unis vs Paraguay,0-1,7.50,4
Etats-Unis vs Paraguay,2-0,7.50,19
Etats-Unis vs Paraguay,1-1,5.40,11
Etats-Unis vs Paraguay,0-2,15,0
Etats-Unis vs Paraguay,2-1,8.00,34
Etats-Unis vs Paraguay,2-2,15,1
Etats-Unis vs Paraguay,1-2,11.50,2
Etats-Unis vs Paraguay,3-0,15,1
Etats-Unis vs Paraguay,3-3,65,0
Etats-Unis vs Paraguay,0-3,44,0
Etats-Unis vs Paraguay,3-1,17,4
Etats-Unis vs Paraguay,4-4,400,0
Etats-Unis vs Paraguay,1-3,34,0
Etats-Unis vs Paraguay,3-2,34,1
Etats-Unis vs Paraguay,Autre,95,1
Etats-Unis vs Paraguay,2-3,46,0
Etats-Unis vs Paraguay,4-0,38,1
Etats-Unis vs Paraguay,0-4,100,0
Bresil vs Maroc,1-0,5.50,7
Bresil vs Maroc,0-0,8.00,5
Bresil vs Maroc,0-1,10.50,3
Bresil vs Maroc,2-0,6.25,6
Bresil vs Maroc,1-1,6.00,10
Bresil vs Maroc,0-2,25,1
Bresil vs Maroc,2-1,7.50,23
Bresil vs Maroc,2-2,15,8
Bresil vs Maroc,1-2,15,18
Bresil vs Maroc,3-0,9.50,1
Bresil vs Maroc,3-3,60,1
Bresil vs Maroc,0-3,60,1
Bresil vs Maroc,3-1,12,7
Bresil vs Maroc,4-4,300,0
Bresil vs Maroc,1-3,46,2
Bresil vs Maroc,3-2,28,2
Bresil vs Maroc,Autre,50,1
Bresil vs Maroc,2-3,50,2
Bresil vs Maroc,4-0,21,0
Bresil vs Maroc,4-1,26,1
Bresil vs Maroc,0-4,170,0
Bresil vs Maroc,1-4,110,0
Haiti vs Ecosse,1-0,11.50,0
Haiti vs Ecosse,0-0,9.50,13
Haiti vs Ecosse,0-1,5.70,7
Haiti vs Ecosse,2-0,27,1
Haiti vs Ecosse,1-1,7.00,3
Haiti vs Ecosse,0-2,6.00,25
Haiti vs Ecosse,2-1,15,2
Haiti vs Ecosse,2-2,16,1
Haiti vs Ecosse,1-2,7.25,13
Haiti vs Ecosse,3-0,60,1
Haiti vs Ecosse,3-3,60,0
Haiti vs Ecosse,0-3,9.00,19
Haiti vs Ecosse,3-1,46,0
Haiti vs Ecosse,4-4,300,0
Haiti vs Ecosse,1-3,11,6
Haiti vs Ecosse,3-2,48,0
Haiti vs Ecosse,Autre,42,3
Haiti vs Ecosse,2-3,25,1
Haiti vs Ecosse,4-0,170,0
Haiti vs Ecosse,0-4,18,4
Haiti vs Ecosse,4-1,110,0
Haiti vs Ecosse,1-4,22,1
